;2.5;2.6;2.8;3.0;3.2;3.5;4.0;4.5;5.0;5.5;6.0;6.5;7.0;7.5;8.0;8.5;9.0;9.5;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;22.0;24.0;25.0;26.0;28.0;30.0;32.0;34.0;35.0;36.0;38.0;40.0;42.0;45.0;48.0;50.0;56.0;60.0;63.0;65.0;70.0;75.0
20;1.08;1.12;1.19;1.26;1.33;1.42;1.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1.2;1.24;1.33;1.41;1.48;1.6;1.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1.39;1.44;1.53;1.63;1.72;1.86;2.07;2.27;2.47;2.64;2.81;2.97;3.11;3.24;3.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1.57;1.63;1.74;1.85;1.96;2.11;2.37;2.61;2.84;3.05;3.26;3.45;3.63;3.79;3.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1.7;1.76;1.88;2.0;2.11;2.29;2.56;2.83;3.08;3.32;3.55;3.77;3.97;4.16;4.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;1.82;1.89;2.02;2.15;2.27;2.46;2.76;3.05;3.33;3.59;3.85;4.09;4.32;4.53;4.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;2.0;2.08;2.22;2.37;2.51;2.72;3.06;3.38;3.7;4.0;4.29;4.57;4.83;5.09;5.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;2.19;2.27;2.43;2.59;2.75;2.98;3.35;3.72;4.07;4.41;4.73;5.05;5.35;5.64;5.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;2.31;2.4;2.57;2.74;2.9;3.15;3.55;3.94;4.32;4.68;5.03;5.37;5.7;6.01;6.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;2.44;2.53;2.71;2.89;3.06;3.32;3.75;4.16;4.56;4.95;5.33;5.69;6.04;6.38;6.71;7.02;7.32;7.61;7.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;2.62;2.72;2.91;3.11;3.3;3.58;4.04;4.49;4.93;5.36;5.77;6.17;6.56;6.94;7.3;7.65;7.99;8.32;8.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;2.93;3.04;3.26;3.48;3.69;4.01;4.54;5.05;5.55;6.04;6.51;6.97;7.42;7.86;8.29;8.7;9.1;9.49;9.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;;;3.55;3.77;4.1;4.64;5.16;5.0;6.17;6.66;7.13;7.6;8.04;8.48;8.91;9.32;9.72;10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;;;;3.77;4.01;4.36;4.93;5.49;6.04;6.58;7.1;7.61;8.11;8.6;9.07;9.54;9.99;10.43;10.85;11.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;;;;3.99;4.25;4.62;5.23;5.83;6.41;6.98;7.55;8.09;8.63;9.16;9.0;10.17;10.65;11.13;11.59;12.48;13.32;14.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;;;;4.22;4.48;4.88;5.52;6.16;6.78;7.39;7.99;8.58;9.15;9.71;10.26;10.79;11.32;11.83;12.33;13.29;14.2;15.07;15.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;;;;4.81;5.11;5.57;6.31;7.05;7.77;8.48;9.17;9.86;10.53;11.19;11.84;12.47;13.09;13.7;14.3;15.46;16.57;17.63;18.64;19.6;20.52;;;;;;;;;;;;;;;;;;;;;;;;;;
70;;;;4.96;5.27;5.74;6.51;7.27;8.01;8.75;9.47;10.18;10.88;11.56;12.23;12.89;13.54;14.17;14.8;16.0;17.16;18.27;19.33;20.34;21.31;;;;;;;;;;;;;;;;;;;;;;;;;;
73;;;;5.18;5.51;6.0;6.81;7.6;8.38;9.16;9.91;10.66;11.39;12.11;12.82;13.52;14.2;14.88;15.54;16.82;18.05;19.23;20.37;21.45;22.49;23.48;24.41;25.3;;;;;;;;;;;;;;;;;;;;;;;
76;;;;5.4;5.74;6.26;7.1;7.93;8.75;9.56;10.36;11.14;11.91;12.0;13.42;14.15;14.87;15.58;16.28;17.63;18.94;20.2;21.4;22.56;23.67;24.73;25.75;26.71;;;;;;;;;;;;;;;;;;;;;;;
83;;;;;;6.86;7.79;8.71;9.62;10.51;11.39;12.26;13.12;13.96;14.8;15.62;16.42;17.22;18.0;19.53;21.01;22.44;23.82;25.15;26.44;27.67;28.85;29.99;;;;;;;;;;;;;;;;;;;;;;;
89;;;;;;7.38;8.38;9.38;10.36;11.33;12.28;13.22;14.15;15.07;15.98;16.87;17.76;18.62;19.48;21.16;22.79;24.36;25.89;27.37;28.8;30.18;31.52;32.8;34.03;36.35;38.47;;;;;;;;;;;;;;;;;;;;
95;;;;;;7.9;8.98;10.04;11.1;12.14;13.17;14.19;15.19;16.18;17.16;18.13;19.09;20.03;20.96;22.79;24.56;26.29;27.96;29.59;31.17;32.7;34.18;35.61;36.99;39.6;42.02;;;;;;;;;;;;;;;;;;;;
102;;;;;;8.5;9.0;10.82;11.96;13.09;14.2;15.31;16.4;17.48;18.54;19.6;20.64;21.67;22.69;24.68;26.63;28.53;30.38;32.18;33.93;35.63;37.29;38.89;40.44;43.4;46.16;;;;;;;;;;;;;;;;;;;;
104;;;;;;;9.86;11.04;12.21;13.36;14.5;15.63;16.74;17.85;18.94;20.02;21.08;22.14;23.18;25.23;27.22;29.17;31.07;32.92;34.72;36.47;38.17;39.83;41.43;44.49;47.35;;;;;;;;;;;;;;;;;;;;
108;;;;;;;10.26;11.49;12.7;13.9;15.09;16.27;17.43;18.59;19.73;20.86;21.97;23.08;24.17;26.31;28.41;30.46;32.45;34.4;36.3;38.15;39.95;41.7;43.4;46.66;49.71;51.17;52.58;55.24;57.7;;;;;;;;;;;;;;;;
114;;;;;;;10.85;12.15;13.44;14.72;15.98;17.23;18.47;19.7;20.91;22.11;23.3;24.48;25.65;27.94;30.18;32.38;34.52;36.62;38.67;40.66;42.61;44.51;46.36;49.91;53.27;54.87;56.42;59.38;62.14;;;;;;;;;;;;;;;;
121;;;;;;;11.54;12.93;14.3;15.0;17.02;18.35;19.68;20.99;22.29;23.58;24.86;26.12;27.37;29.84;32.26;34.62;36.94;39.21;41.63;43.6;45.72;47.79;49.81;53.71;57.41;59.18;60.91;64.21;67.32;;;;;;;;;;;;;;;;
127;;;;;;;12.13;13.59;15.04;16.48;17.9;19.31;20.71;22.1;23.48;24.84;26.19;27.53;28.85;31.47;34.03;36.55;39.01;41.43;43.8;46.11;48.38;50.6;52.77;56.96;60.96;62.88;64.76;68.36;71.76;;;;;;;;;;;;;;;;
133;;;;;;;12.72;14.26;15.78;17.29;18.79;20.28;21.75;23.21;24.66;26.1;27.52;28.93;30.33;33.09;35.81;38.47;41.08;43.65;46.16;48.63;51.05;53.41;55.73;60.22;64.51;66.58;68.6;72.5;76.2;79.7;;;;;;;;;;;;;;;
140;;;;;;;;15.04;16.65;18.24;19.83;21.4;22.96;24.51;26.04;27.56;29.07;30.57;32.06;34.99;37.88;40.71;43.5;46.24;48.93;51.56;54.15;56.59;59.18;64.02;68.66;70.9;73.09;77.33;81.38;85.22;88.87;90.63;92.33;;;;;;;;;;;;
146;;;;;;;;15.7;17.39;19.06;20.71;22.36;23.99;25.62;27.22;28.82;30.41;31.98;33.54;36.62;39.65;42.64;45.57;48.46;51.29;54.08;56.82;59.5;62.14;67.27;72.2;74.6;76.94;81.48;85.82;89.96;93.91;95.8;97.65;;;;;;;;;;;;
152;;;;;;;;16.37;18.13;19.87;21.6;23.32;25.03;26.73;28.41;30.08;31.74;33.38;35.02;38.25;41.43;44.56;47.64;50.68;53.66;56.59;59.48;62.32;65.1;70.53;75.76;78.3;80.79;85.62;90.26;94.69;98.94;100.98;102.98;;;;;;;;;;;;
159;;;;;;;;17.14;18.99;20.82;22.64;24.44;26.24;28.02;29.79;31.55;33.29;35.02;36.74;40.15;43.5;46.8;50.06;53.27;56.42;59.53;62.59;65.6;68.55;74.33;79.9;82.61;85.27;90.45;95.43;100.22;104.81;107.02;109.19;113.39;117.38;;;;;;;;;;
165;;;;;;;;;19.73;21.63;23.53;25.41;27.27;29.13;30.97;32.8;34.62;36.43;38.22;41.47;45.28;48.73;52.13;55.49;58.79;62.04;65.25;68.41;71.51;77.58;83.45;86.31;89.12;94.6;99.87;104.95;109.84;112.2;114.52;119.01;123.3;;;;;;;;;;
168;;;;;;;;;20.1;22.04;23.97;25.89;27.79;29.68;31.56;33.43;35.29;37.13;38.96;42.59;46.16;49.69;53.17;56.59;59.97;63.3;66.58;69.81;72.99;79.21;85.22;88.16;91.04;96.67;102.09;107.32;112.35;114.79;117.18;121.82;126.26;130.5;136.49;;;;;;;;
178;;;;;;;;;21.33;23.4;25.45;27.49;29.52;31.53;33.54;35.53;37.51;39.47;41.43;45.3;49.12;52.9;56.62;60.29;63.92;67.49;71.02;74.5;77.93;84.63;91.14;94.32;97.46;103.57;109.49;115.21;120.74;123.42;126.06;131.19;136.12;140.86;147.59;;;;;;;;
180;;;;;;;;;21.58;23.0;25.75;27.81;29.86;31.9;33.93;35.95;37.95;39.94;41.92;45.84;49.71;53.54;57.31;61.03;64.71;68.33;71.91;75.43;78.91;85.72;92.33;95.56;98.74;104.95;110.97;116.79;122.41;125.15;127.84;133.07;138.1;142.93;149.81;;;;;;;;
194;;;;;;;;;23.3;25.57;27.82;30.05;32.28;34.49;36.69;38.88;41.06;43.22;45.37;49.64;53.86;58.02;62.14;66.21;70.23;74.2;78.12;81.99;85.82;93.31;100.61;104.19;107.71;114.62;121.33;127.84;134.15;137.23;140.27;146.18;151.91;157.43;165.35;;;;;;;;
203;;;;;;;;;;;29.15;31.5;33.83;36.16;38.47;40.77;43.06;45.33;47.59;52.08;56.52;60.91;65.25;69.54;73.78;77.97;82.12;86.21;90.26;98.2;105.94;109.74;113.49;120.83;127.99;134.94;141.7;145.0;148.26;154.62;160.78;166.75;175.33;183.47;188.65;;;;;;
219;;;;;;;;;;;31.52;34.06;36.6;39.12;41.63;44.12;46.61;49.08;51.54;56.42;61.26;66.04;70.77;75.46;80.1;84.68;89.22;93.71;98.15;106.88;115.41;119.6;123.74;131.88;139.82;147.57;155.11;158.81;162.46;169.61;176.57;183.32;193.09;202.41;208.38;;;;;;
245;;;;;;;;;;;;38.23;41.09;43.93;46.76;49.57;52.38;55.17;57.95;63.47;68.95;74.37;79.75;85.08;90.35;95.58;100.76;105.89;110.97;120.98;130.8;135.63;140.41;149.83;159.06;168.08;176.91;181.25;185.54;193.98;202.21;210.25;221.94;233.18;240.44;;;;;;
273;;;;;;;;;;;;42.72;45.92;49.1;52.28;55.44;58.59;61.73;64.86;71.07;77.24;83.35;89.42;95.43;101.4;107.32;113.19;119.01;124.78;136.17;147.37;152.89;158.37;169.17;179.77;190.18;200.39;205.42;210.4;220.21;229.83;239.25;253.01;266.33;274.96;;;;;;
299;;;;;;;;;;;;;;53.91;57.41;60.89;64.36;67.82;71.27;78.12;84.93;91.69;98.39;105.05;111.66;118.22;124.73;131.19;137.6;150.28;162.76;168.92;175.04;187.12;199.01;210.7;222.19;227.86;233.48;244.58;255.48;266.18;281.86;297.1;307.02;335.57;353.62;366.64;375.08;395.3;414.29
324;;;;;;;;;;;;;;58.54;62.34;66.13;69.91;73.68;77.43;84.9;92.33;99.7;107.02;114.3;121.52;128.7;135.83;142.9;149.93;163.84;177.55;184.33;191.07;204.38;217.5;230.42;243.15;249.44;255.67;268.0;280.14;292.07;309.61;326.7;337.84;370.1;390.61;405.48;415.15;438.45;460.53
325;;;;;;;;;;;;;;58.72;62.54;66.34;70.13;73.91;77.68;85.18;92.62;100.02;107.37;114.67;121.92;129.12;136.27;143.37;150.43;164.38;178.14;184.95;191.71;205.07;218.24;231.21;243.99;250.3;256.56;268.94;281.12;293.11;310.72;327.88;339.08;371.48;392.09;407.04;416.75;440.18;462.38
351;;;;;;;;;;;;;;;;71.79;75.9;80.0;84.09;92.23;100.32;108.36;116.35;124.29;132.18;140.02;147.81;155.56;163.25;178.49;193.53;200.98;208.38;223.03;237.48;251.73;265.79;272.74;279.64;293.31;306.77;320.04;338.57;358.66;371.13;407.38;430.56;447.43;458.43;485.06;510.46
356;;;;;;;;;;;;;;;68.65;;77.01;81.17;85.32;93.58;101.8;109.96;118.07;126.14;134.15;142.12;150.03;157.9;165.72;181.2;196.49;204.06;211.58;226.48;241.17;255.67;269.98;277.06;284.08;297.99;311.7;325.22;345.12;364.57;377.3;414.29;437.96;455.2;466.44;493.69;519.71
377;;;;;;;;;;;;;;;72.8;77.24;81.67;86.09;90.5;99.28;108.01;116.69;125.32;133.9;142.44;150.92;159.35;167.74;176.07;192.59;208.92;217.01;225.05;240.98;256.71;272.25;287.58;295.18;302.73;317.67;332.42;346.97;368.42;389.43;403.19;443.29;469.03;487.82;500.1;529.94;558.55
402;;;;;;;;;;;;;;;77.73;82.48;87.22;91.95;96.67;106.06;115.41;124.71;133.95;143.15;152.3;161.4;170.45;179.45;188.4;206.16;223.72;232.42;241.08;258.24;275.21;291.97;308.55;316.76;324.92;341.1;357.08;372.86;396.16;419.02;434.02;477.81;506.02;526.66;540.18;573.1;604.79
406;;;;;;;;;;;;;;;78.52;83.32;88.11;92.89;97.65;107.15;116.59;125.99;135.33;144.63;153.88;163.08;172.23;181.32;190.38;208.33;226.08;234.89;243.64;261.0;278.16;295.13;311.9;320.21;328.47;344.85;361.02;377.0;400.6;423.76;438.95;483.34;511.94;532.88;546.59;580.0;612.18
426;;;;;;;;;;;;;;;82.46;87.51;92.55;97.57;102.59;112.57;122.51;132.4;142.24;152.03;161.77;171.46;181.1;190.7;200.24;219.18;237.92;247.22;256.46;274.81;292.96;310.91;328.67;337.47;346.23;363.59;380.75;397.72;422.8;447.43;463.61;510.96;541.53;563.95;578.65;614.53;649.17
450;;;;;;;;;;;;;;;;;97.88;103.2;108.5;119.08;129.61;140.09;150.52;160.91;171.24;181.52;191.76;201.94;212.08;232.2;252.12;262.01;271.85;291.38;310.72;329.85;348.79;358.19;367.53;386.08;404.42;422.57;449.43;475.84;493.2;544.1;577.04;601.24;617.12;655.96;693.56
457;;;;;;;;;;;;;;;;;99.43;104.84;110.23;120.98;131.68;142.34;152.94;163.5;174.0;184.46;194.86;;215.53;236.0;256.27;266.33;276.34;296.22;315.89;335.38;354.66;364.23;373.75;392.64;411.33;429.82;457.2;484.13;501.83;553.76;587.4;612.11;628.34;668.04;706.51
465;;;;;;;;;;;;;;;;;101.2;106.71;112.2;123.15;134.05;144.9;155.7;166.46;;;;;219.47;240.34;261.0;271.26;281.47;301.74;321.81;341.69;361.37;371.13;380.85;400.13;419.22;438.11;466.07;493.59;511.7;564.81;599.24;624.54;641.16;681.85;721.31
480;;;;;;;;;;;;;;;;;104.53;110.22;115.9;127.22;138.49;149.71;160.88;172.0;;;;;;;;280.51;291.09;312.1;332.91;353.53;373.94;384.1;394.17;414.19;436.02;453.65;482.72;511.35;530.19;585.53;621.43;647.84;665.2;707.74;749.05
500;;;;;;;;;;;;;;;;;108.97;114.91;120.83;132.65;144.41;156.12;167.79;179.4;;;;;;;;292.84;303.91;325.91;347.71;369.31;390.71;401.34;411.92;432.93;453.74;474.36;504.91;535.02;554.85;613.15;651.02;678.91;697.26;742.27;786.04
508;;;;;;;;;;;;;;;;;110.75;116.78;122.81;134.82;146.78;158.69;170.55;182.36;194.12;205.84;217.5;;240.68;263.66;286.45;297.77;309.04;331.43;353.62;375.62;397.42;408.25;419.02;440.43;461.64;482.65;513.79;544.49;564.71;624.19;662.86;691.34;710.08;756.08;800.83
530;;;;;;;;;;;;;;;;;115.63;121.94;128.23;140.78;153.29;165.74;178.14;190.5;;;;;;;;311.33;323.14;346.62;369.9;392.98;415.87;427.23;438.55;461.04;483.34;505.43;538.2;570.53;591.84;654.58;695.41;725.52;745.35;794.05;841.52
550;;;;;;;;;;;;;;;;;120.07;126.62;133.16;146.21;159.2;172.15;185.05;197.9;;;;;;;;323.66;335.97;360.43;384.7;408.76;432.64;444.5;456.31;479.78;503.06;526.15;560.4;594.21;616.5;682.19;725.0;756.59;777.41;828.58;878.51
